"source","target","eid","label","stars","votes.useful","votes.cool","votes.funny","date","review_id"
"smtPq9aybms_dl-72ezezA","1zKH87sjLpRr8XDKmk7j1g","943299","review","1","0","0","0","2012-04-13","m7FvgKlj5bSplTSXd3TX5Q"
"puJ5t4lvCfLYMqIm1qGpeg","_KvGddVMM3d2f7NEa_eOtA","941925","review","4","0","0","0","2015-06-22","ZwhPGzTStYg0ehU27u_KnA"
"VOdLfVfkGctz_jESSPFXzg","_KvGddVMM3d2f7NEa_eOtA","941874","review","5","0","1","0","2013-09-02","nBOUtWsUfsJnO6UQ2SZDEw"
"SLD3zcm8-XkHvD87gNMGhA","8zdeaK3PWDsr5Kq4UOuNSw","777533","review","5","0","0","0","2013-07-29","-dIzsDoGjeD2WWT1DxdvjQ"
"SLD3zcm8-XkHvD87gNMGhA","9SPwF-vRgtuHxciFxv5YLA","14388","review","5","1","0","0","2013-07-29","USG8SOFWFPWOkzsYM4q8Kg"
"SLD3zcm8-XkHvD87gNMGhA","xgK6AAhJ-cYBUCSaLzgTuw","15772","review","5","0","0","0","2013-03-24","45nE1vlCeBTn5wxW5wwLBg"
"SLD3zcm8-XkHvD87gNMGhA","2SwC8wqpZC4B9iFVTgYT9A","2972","review","5","0","0","0","2013-07-29","RKFSr-MucvUXCElzpuL0zQ"
"SLD3zcm8-XkHvD87gNMGhA","1vK7gWQ_b5ehAyOidOsYtg","282385","review","5","0","0","0","2013-09-11","uqLx1OLTvCLgip9Hv18qZg"
"lTKVZP_P1JXH58X4qK7IFg","_KvGddVMM3d2f7NEa_eOtA","941815","review","3","0","0","0","2010-09-17","AUDVzYG0WJrysutin6P9Tg"
"lTKVZP_P1JXH58X4qK7IFg","RhOTBt7ISr2rhXisSMLTSw","560481","review","4","1","0","0","2010-09-12","NX2QiFO8ToPaz_h30T5bdA"
"F-KIN8Aei-_8tV0LTCBqSg","_KvGddVMM3d2f7NEa_eOtA","941879","review","2","2","2","3","2013-11-13","X94Fy1Se7XOSSCRskD1GOQ"
"9UZ2OoDgvxSzmFnQPdJhXg","_KvGddVMM3d2f7NEa_eOtA","941883","review","3","0","0","0","2013-12-28","9qCxA4ulOaq7UaLyefBp_w"
"yaxrDSApi_dxvwo2aYcsUg","gr6AoBJ5MEkZynXP_MHs1w","284280","review","4","1","0","0","2015-01-26","nfwZyzOFtNXValZEGKxSwQ"
"31VQF9JrpX2xdSVTc44OoQ","_KvGddVMM3d2f7NEa_eOtA","941819","review","4","2","0","0","2010-11-16","mCN38oxMPcjYvVea--o73g"
"60m9LFx9VAH-4CqkSXfKBg","_KvGddVMM3d2f7NEa_eOtA","941875","review","3","3","1","0","2013-09-15","VrUUfsm7HRCJxM5UPx6PBA"
"JxYaNw7ruY7wWe0Lc4dzHQ","_WaHLgLzALd2iThQAhC-sQ","277558","review","1","1","0","0","2011-08-18","ZHvDpWWXy-882kyPgr8Qew"
"ApsLFNguAQWJt9cB8tADng","_KvGddVMM3d2f7NEa_eOtA","941956","review","4","0","0","0","2016-03-18","TIpKD8QDIQZFS6UjYOaHoQ"
"bbCbJ5pIFbn7gY5HaPu9_Q","vvPzcOhbQn5fLQUAIxcP6A","537792","review","4","0","0","0","2015-06-23","Jy6F0yk0HPtT_JEFlMrwVQ"
"bbCbJ5pIFbn7gY5HaPu9_Q","_KvGddVMM3d2f7NEa_eOtA","941926","review","4","1","0","0","2015-06-23","2wrBfW8gagp9GwSci_FzCg"
