"id","label","name","city","state","stars","latitude","longitude","review_count","full_address","analytic_degree_total","analytic_degree_out","analytic_degree_in","average_stars","yelping_since","fans","votes.useful","votes.cool","votes.funny"
"FJ8M_nW2hbh2JnJxEnZnjw","business","Bakersfield Penn Ave","Pittsburgh","PA","4.5","40.4439437","-79.9965813","133","940 Penn Ave Downtown Pittsburgh, PA 15222",,,,"","","","","",""
"nPvwk6NW7j-nbvUzCh94lw","business","Smallman Galley","Pittsburgh","PA","4","40.4521788","-79.9837408","108","54 21st St Strip District Pittsburgh, PA 15222",,,,"","","","","",""
"UdGMFTF89PVjHFl3_BAG9w","business","The Yard","Pittsburgh","PA","3.5","40.44139","-80.0028792","103","100 5th Ave Downtown Pittsburgh, PA 15222",,,,"","","","","",""
"diAEN3I9fXcZgNFpA5vz4g","business","täkō","Pittsburgh","PA","4.5","40.4422204","-80.0022556","369","214 6th St Downtown Pittsburgh, PA 15222",,,,"","","","","",""
"sVL-5l8F75EDfwJxGTg4ug","business","Smoke BBQ Taqueria","Pittsburgh","PA","3.5","40.4699503","-79.9610783","228","4115 Butler St Lawrenceville Pittsburgh, PA 15201",,,,"","","","","",""
"OOsoeJIwsfHyC8sFmJSPpA","business","The Commoner","Pittsburgh","PA","3.5","40.4416755558876","-79.9962055881847","254","458 Strawberry Way Downtown Pittsburgh, PA 15219",,,,"","","","","",""
"uEv5oBGUSSiuLqSbbHQQ8A","business","Jade Grille","Pittsburgh","PA","4","40.3805093215236","-80.044806227088","115","670 Washington Rd Pittsburgh, PA 15228",,,,"","","","","",""
"h27XSUr66bI87J01FsYDpw","business","The Yard Gastropub","Pittsburgh","PA","3.5","40.4513696","-79.9341804","187","736 Bellefonte St Shadyside Pittsburgh, PA 15232",,,,"","","","","",""
"l3ZH41X7rNxP2K75stSWvw","business","Istanbul Sofra","Pittsburgh","PA","4.5","40.4395831125655","-79.8974592089652","200","7600 Forbes Ave Regent Square Pittsburgh, PA 15221",,,,"","","","","",""
"Tn5Rbb_zehQL44WpytV_rg","business","Altius","Pittsburgh","PA","4.5","40.438556","-80.019299","234","1230 Grandview Ave Duquesne Heights Pittsburgh, PA 15211",,,,"","","","","",""
"jSqhVWUquT3fGREmNdKdUA","business","G & G Noodle Bar","Pittsburgh","PA","4","40.442035","-80.002556","254","535 Liberty Ave Downtown Pittsburgh, PA 15222",,,,"","","","","",""
"JdAyXD2lsYtOGUc7DTsVEQ","business","Cafe Moulin","Pittsburgh","PA","4","40.4516222360555","-79.9331853806125","102","732 Filbert Street Shadyside Pittsburgh, PA 15232",,,,"","","","","",""
"qylwlQOVkj-Dwqr5n2Fd9A","business","La Palapa, Mexican Gourmet Kitchen","Pittsburgh","PA","4.5","40.428832","-79.9780571","113","1925 E Carson St South Side Pittsburgh, PA 15203",,,,"","","","","",""
"YbzUYOY_ZIYTWGNw8sbgHw","business","Ten Penny","Pittsburgh","PA","3","40.4444316","-79.9956094","247","960 Penn Ave Downtown Pittsburgh, PA 15222",,,,"","","","","",""
"14JrDlEb7SMK_ZHrS80lFA","business","The Pub Chip Shop","Pittsburgh","PA","4.5","40.428426","-79.979395","155","1830 E Carson St South Side Pittsburgh, PA 15203",,,,"","","","","",""
"UXlGymo9AduQcq-Q-H16og","business","Sienna Mercato","Pittsburgh","PA","4","40.4439496","-79.9964366","457","942 Penn Ave Downtown Pittsburgh, PA 15222",,,,"","","","","",""
"Eq-w1GBZLdEbrtNDwVncYA","business","Gaby Et Jules","Pittsburgh","PA","4","40.438345","-79.921365","144","5837 Forbes Ave Squirrel Hill Pittsburgh, PA 15217",,,,"","","","","",""
"r9rub_ajcb-3yYsYYD5apw","business","Proper Brick Oven & Tap Room","Pittsburgh","PA","4","40.4435995","-80.0003448","334","139 7th St Downtown Pittsburgh, PA 15222",,,,"","","","","",""
"rB6IWv6mW2IVjvgfvNGdHg","business","Casa Reyna","Pittsburgh","PA","3.5","40.4516855","-79.9833236","151","2031 Penn Ave Strip District Pittsburgh, PA 15222",,,,"","","","","",""
"-4bNlx03GsXzgkHZwTrMaw","business","Redbeard's On Sixth","Pittsburgh","PA","3","40.4423244","-80.0019849","100","144 6th St Downtown Pittsburgh, PA 15222",,,,"","","","","",""
"mGoHakt3WsXA-dVC-9g33g","business","Tender Bar & Kitchen","Pittsburgh","PA","3.5","40.470578","-79.960043","170","4300 Butler St Lawrenceville Pittsburgh, PA 15201",,,,"","","","","",""
"QBdX_ziDIyshttyAxDnskw","business","Pizzaiolo Primo","Pittsburgh","PA","3.5","40.4402916","-80.0021485","148","8 Market Sq Downtown Pittsburgh, PA 15222",,,,"","","","","",""
"RjavzMXChoFWdsIZnfs5YQ","business","Everyday Noodles","Pittsburgh","PA","4","40.4381401","-79.9201014","370","5875 Forbes Ave Squirrel Hill Pittsburgh, PA 15217",,,,"","","","","",""
"1Gu4Ei5MRllLM4y18CB3sg","business","Thin Man Sandwich Shop","Pittsburgh","PA","4","40.4521386","-79.9838044","101","50 21st St Strip District Pittsburgh, PA 15222",,,,"","","","","",""
"rcCGdKxMPJk4lCzZZ1i_bA","business","Gaucho Parrilla Argentina","Pittsburgh","PA","4.5","40.449077","-79.987519","893","1607 Penn Ave Strip District Pittsburgh, PA 15222",,,,"","","","","",""
"JrdoWznKY-OFmwCkv75P_A","business","Nicky's Thai Kitchen","Pittsburgh","PA","4","40.4439407","-79.9982321","336","903 Penn Ave Downtown Pittsburgh, PA 15222",,,,"","","","","",""
"xk0Xss6LmF2Pxks0K2jrhQ","business","Tan Lac Vien","Pittsburgh","PA","4","40.4331995","-79.9232148","143","2114 Murray Ave Squirrel Hill Pittsburgh, PA 15217",,,,"","","","","",""
"fzXMAz-uYjdLhxWYABo_8Q","business","Ramen Bar","Pittsburgh","PA","3.5","40.4378890991211","-79.9215545654297","186","5860 Forbes Ave Squirrel Hill Pittsburgh, PA 15217",,,,"","","","","",""
"clvKNlfy-rzqiXlSjibv8g","business","Butterjoint","Pittsburgh","PA","4","40.4499759734743","-79.9507371864515","130","214 N Craig St Oakland Pittsburgh, PA 15213",,,,"","","","","",""
"8rztpAGPJA9fgFwP25RP7A","business","Waffles Incaffeinated","Pittsburgh","PA","4","40.4278494","-79.9692986","282","2517 E Carson St South Side Pittsburgh, PA 15203",,,,"","","","","",""
"lqvE9OXtOdtbB_m55U5kGg","business","El Burro","Pittsburgh","PA","4","40.45588","-80.006529","114","1108 Federal St North Side Pittsburgh, PA 15212",,,,"","","","","",""
"z9H1at5bT5FKfPUR6LPo5Q","business","Benjamins Western Avenue Burger Bar","Pittsburgh","PA","3.5","40.4520989","-80.016762","133","900 Western Ave North Side Pittsburgh, PA 15233",,,,"","","","","",""
"ihUWFwY0r3ApW5aZ4Aqf9Q","business","Noodlehead","Pittsburgh","PA","4","40.457748","-79.925494","543","242 S Highland Ave Shadyside Pittsburgh, PA 15206",,,,"","","","","",""
"PmGgA12IFDwedPDAjesx3Q","business","STACK'D Burgers & Beer","Pittsburgh","PA","3.5","40.4510918","-79.9350785","115","728 Copeland St Shadyside Pittsburgh, PA 15232",,,,"","","","","",""
"J4Y6BSwxGxD7mznM45ykeA","business","The Bagel Factory","Pittsburgh","PA","2","40.4445302592386","-79.9488186836243","115","420 S Craig St Oakland Pittsburgh, PA 15213",,,,"","","","","",""
