"source","target","eid","label","stars","votes.useful","votes.cool","votes.funny","date","review_id"
"7QwL3VSPADjXb2H8AtFRmA","HyfFenprdpIA4rmKu6DW3g","739067","review","5","0","0","0","2016-06-09","g782yMOQC8xleiN83bQMbg"
"7QwL3VSPADjXb2H8AtFRmA","eWPFXL1Bmu1ImtIa2Rqliw","587102","review","4","0","0","0","2016-06-09","8sG-rvUO5zUvfIKvqyBw3A"
"7QwL3VSPADjXb2H8AtFRmA","4bEjOyTaDG24SY5TxsaUNQ","595735","review","4","0","0","0","2016-06-09","_KS4ww1fbAjGPLQVOCmCLg"
"vDf8lUl-JrJbd3RPlSImyw","HyfFenprdpIA4rmKu6DW3g","738720","review","5","0","0","0","2015-06-30","hEFTvh6XdQqTm9xTrvZqLA"
"5b4HRlv-rJETp2tvrTbjyQ","YNQgak-ZLtYJQxlDwN-qIg","657086","review","3","0","0","0","2016-06-30","MOXU2WXarcGYVzX0q4Lh5w"
"5b4HRlv-rJETp2tvrTbjyQ","HyfFenprdpIA4rmKu6DW3g","739096","review","3","0","0","0","2016-06-30","zij564a9UWggcsjmjypQYw"
"w9SK0R2aeq664szDeJe61w","m7icEOgYpM3B8TlbYsKPzg","578629","review","3","1","0","4","2012-12-28","WXuym2LY4LHYK2-eunLgVg"
"nhkorBjYFl0sQ4R2dK2Mag","KJnVuzpveyDrHARVNZaYVg","266246","review","4","0","0","0","2014-10-03","CfqmMplNph_WZupFObIjGA"
"nhkorBjYFl0sQ4R2dK2Mag","JokKtdXU7zXHcr20Lrk29A","396349","review","1","1","0","2","2014-07-27","sSWZQgUUIhk3AZuThO5yAw"
"KzY6Cp1PSksilOW9--PXzQ","EWMwV5V9BxNs_U6nNVMeqw","648198","review","4","0","0","0","2014-02-13","dDRFtEJTlWtFUrW94Otypw"
"PFPrFXmDZCOYwFO6zQJZwg","DO3Gk17RyJVW7zYMCtYPnw","558614","review","4","2","3","1","2013-12-30","r05fP4tSSZiSfpPAaHq5tQ"
"PFPrFXmDZCOYwFO6zQJZwg","HyfFenprdpIA4rmKu6DW3g","738316","review","5","2","2","1","2014-02-25","ig5oHHjK15df0yiNAG1Qug"
"VigCd-QMN3VWRFHYDs8TSg","HyfFenprdpIA4rmKu6DW3g","738639","review","5","1","0","0","2015-04-04","n4li0n1jeOaBDIr5BeYaXA"
"ojIabFHfuaGJ9Czj6a4sEw","HyfFenprdpIA4rmKu6DW3g","738902","review","4","0","0","0","2015-12-21","GAjYJj8GrFSjdDqL-03soA"
"GBYJP2PRSzjb8q3_8MUQyQ","HyfFenprdpIA4rmKu6DW3g","738705","review","5","0","0","0","2015-06-19","wDGGrlEPl7BuZlmJLUpIsg"
"XgfWjVpIlXaW9Rr93iXfNg","34uJtlPnKicSaX1V8_tu1A","580373","review","3","0","0","0","2013-01-20","6YrQjdetxq3SBGHXY0EheQ"
"XA6FxLD3-URZGE6W_mhZHA","HyfFenprdpIA4rmKu6DW3g","738931","review","1","0","0","3","2016-01-19","TMFp4h4oB7gKKweJBC8AZg"
"LV-grFEkIh8yEtu6rnHGgg","HyfFenprdpIA4rmKu6DW3g","738577","review","3","0","0","0","2015-01-20","z9SEg0m_nfa00xexRrwbIg"
"vQKFJSK1DWCTA9ShmydzBA","Z0kyK8wCBNGkkUT9UrMWcg","486356","review","5","0","0","0","2014-02-25","LPlaerdgMkRz_XHCt6HA7A"
"vQKFJSK1DWCTA9ShmydzBA","34uJtlPnKicSaX1V8_tu1A","580655","review","2","0","0","0","2014-03-04","EKcb3fIzHkvGaAMAklgZiA"
"vQKFJSK1DWCTA9ShmydzBA","YacTpiq0ZptFcXD7I-kdGA","583628","review","3","0","0","0","2014-03-04","8DxJ77fxGPI5gI37jVd_HA"
"S7rLCjeNJbt08UAMRl5Epg","HyfFenprdpIA4rmKu6DW3g","738054","review","5","1","0","0","2013-01-15","G1kTEteIDaokFi6nsXUmLw"
"4e10m0_5X_EtFKGKqPw4nw","HyfFenprdpIA4rmKu6DW3g","738573","review","5","1","1","2","2015-01-15","75FSd38ye1kPWRmHfrX5XQ"
"XHU07RSEONA9gse3J_rmVA","tqu42L0qXzkvYKSruOz0IA","476593","review","5","0","0","0","2012-10-29","BFi0TXD38BBYmzMXJdNk-Q"
"XHU07RSEONA9gse3J_rmVA","1fjgZaW6_qTYoAaSCfI-VQ","876661","review","5","0","0","0","2014-01-10","ESmZP8jKo-0-RnVnYDGsCQ"
"XHU07RSEONA9gse3J_rmVA","1fjgZaW6_qTYoAaSCfI-VQ","876418","review","1","2","1","1","2012-01-14","F_3l3kGtbl-nKm3Qxu7_Bw"
"ENjXtuPF5WT8vxz_yMh9-g","HyfFenprdpIA4rmKu6DW3g","737715","review","2","0","0","1","2010-06-19","Wo04OuGHvUEdHI6SVijxHg"
