"id","label","name","city","state","stars","latitude","longitude","review_count","full_address","analytic_degree_total","analytic_degree_out","analytic_degree_in","average_stars","yelping_since","fans","votes.useful","votes.cool","votes.funny"
"sAOpm86A4ukUhY5men3Xbg","business","Gen Korean BBQ House","Henderson","NV","4","36.0671229","-115.0428251","1243","1300 W. Sunset Rd Ste 2920 Henderson, NV 89014",0,0,0,"","","","","",""
"r1YB-iVpNM8oP2eEqyaVbg","business","El Dorado Cantina","Las Vegas","NV","4.5","36.1350121","-115.1714295","1922","3025 Sammy Davis Jr. Dr Las Vegas, NV 89109",0,0,0,"","","","","",""
"s5-VDvUqyYnD8RG3LPqnbQ","business","Giada","Las Vegas","NV","3.5","36.1151458784834","-115.172286068401","1751","The Cromwell Las Vegas Resort & Casino 3595 Las Vegas Blvd South The Strip Las Vegas, NV 89109",0,0,0,"","","","","",""
"ateowLnq6kpgNNWHzCDByQ","business","Guy Fieri's Vegas Kitchen & Bar","Las Vegas","NV","3.5","36.118793","-115.1726","1814","The LINQ Las Vegas Resort & Casino 3535 S Las Vegas Blvd The Strip Las Vegas, NV 89109",0,0,0,"","","","","",""
"TXHdGKBw-vzmhcpSciagaw","business","High Roller","Las Vegas","NV","4","36.1174614909798","-115.168180055916","1001","The Linq Las Vegas 3545 Las Vegas Blvd S The Strip Las Vegas, NV 89109",0,0,0,"","","","","",""
"6i8vY-6gCQd5v6lZ8yne5Q","business","SLS Las Vegas Hotel & Casino","Las Vegas","NV","3","36.1423455300044","-115.156288146973","1427","2535 Las Vegas Blvd S The Strip Las Vegas, NV 89109",0,0,0,"","","","","",""
"MN0OLvP8i0SirMJ7AMuMzA","business","Pizza Rock","Las Vegas","NV","4","36.1718303","-115.1420069","1358","201 N 3rd St Downtown Las Vegas, NV 89101",0,0,0,"","","","","",""
"IyCwqORkMSmK4mAgAFHgnA","business","Firefly","Las Vegas","NV","4.5","36.1201350750157","-115.154417457552","1033","3824 Paradise Rd Eastside Las Vegas, NV 89169",0,0,0,"","","","","",""
"3OB5gQqibKGTzx9R1w7wKQ","business","SkinnyFATS","Las Vegas","NV","4.5","36.075857112475","-115.181633345783","1148","6261 Dean Martin Dr Las Vegas, NV 89118",0,0,0,"","","","","",""
"OoeTGTkxvSZqqicZ8ljJjw","business","Hakkasan Nightclub","Las Vegas","NV","2.5","36.1037993417643","-115.168108888191","1311","MGM Grand Hotel and Casino 3799 Las Vegas Blvd S Eastside Las Vegas, NV 89109",0,0,0,"","","","","",""
"kEC7OlpPnZRxCUyVwq7hig","business","Hard Rock Hotel & Casino","Las Vegas","NV","3","36.1088346443872","-115.15381775582","1708","Hard Rock Hotel & Casino 4455 Paradise Rd Eastside Las Vegas, NV 89169",0,0,0,"","","","","",""
"4X_XAOeMw7AFkYhg3NINJA","business","Matt's Big Breakfast","Phoenix","AZ","4","33.4574481512938","-112.072295342328","1180","825 N 1st St Phoenix, AZ 85004",0,0,0,"","","","","",""
